Recording	Participant	Timeline	TOI	Interval	Media	AOI	post	pre	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 41			1	117	117	117	117	1	700821	117	"Rectangle 8,Rectangle 46"		2.89359	117	117	117	117	1	700821	117	2.89359	117	117	117	117	1	700821	117	150	150	150	150	1	700787	150	0			0			0	700787	700937	47.43	96.56													
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 42			1	200	200	200	200	1	729379	200	"Rectangle 8,Rectangle 46"		2.71235	200	200	200	200	1	729379	200	2.71235	200	200	200	200	1	729379	200	250	250	250	250	1	729329	250	0			0			0	729329	729579	149.71	53.18													
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 43			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 44			1	14007	222	67	533	63	603325	133	"Rectangle 8,Rectangle 46"		2.72852	13324	226	67	533	59	603325	133	2.73409	15456	429	67	1799	36	603325	133	16921	470	67	1832	36	603275	183	0			0			24	603275	603458	302.9	44.47													
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 45			1	19486	238	83	666	82	610386	150	"Rectangle 8,Rectangle 46"		2.72551	18404	245	83	666	75	610386	150	2.71849	21716	494	83	2598	44	610386	150	23648	537	133	2631	44	610336	200	0			0			34	610336	610536	179.59	59.8													
Recording17	Participant4	Timeline1	My Time of Interest 001	1	Screen Recording Recording17	Rectangle 46			1	17088	225	67	550	76	652889	200	"Rectangle 8,Rectangle 46"		2.6614	16605	227	67	550	73	652889	200	2.66	19553	515	150	1949	38	652889	550	21168	557	167	1965	38	652856	583	0			0			32	652856	653439	44.22	292.77													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle			1	40204	227	16	716	177	66920	16	"Rectangle 8,Rectangle 46"		2.60366	37840	229	67	716	165	67102	150	2.59638	49930	1664	133	10508	30	66920	10508	51512	1717	200	10508	30	66920	10508	0			0			123	78294	77428	186.34	298.5													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 1			1	22267	237	67	700	94	77445	167	"Rectangle 8,Rectangle 46"		2.53507	22134	238	67	700	93	77445	167	2.53621	25132	811	100	3597	31	77445	167	26614	859	150	3614	31	77428	183	0			0			58	77428	77611	298.5	88.05													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 2			1	6029	251	67	700	24	77445	167	"Rectangle 8,Rectangle 46"		2.49637	5896	256	67	700	23	77445	167	2.49977	6812	757	100	3414	9	77445	167	7162	796	150	3448	9	77428	183	0			0			13	77428	77611	298.5	88.05													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 3			1	5163	258	117	550	20	82641	150	"Rectangle 8,Rectangle 46"		2.54755	5163	258	117	550	20	82641	150	2.54755	5396	360	117	1266	15	82641	150	6112	407	167	1299	15	82624	167	0			0			5	82624	82791	519.88	57.26													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 4			1	7078	253	100	483	28	89719	183	"Rectangle 8,Rectangle 46"		2.58121	7078	253	100	483	28	89719	183	2.58121	7661	479	117	1765	16	89719	183	8327	520	150	1815	16	89686	217	0			0			11	89686	89902	88.18	58.93													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 5			1	3098	194	83	516	16	117498	150	"Rectangle 8,Rectangle 46"		2.49754	3098	194	83	516	16	117498	150	2.49754	3281	328	117	550	10	117498	150	3664	366	167	583	10	117448	200	0			0			6	117448	117648	167.31	42.67													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 6			1	400	133	117	150	3	132171	117	"Rectangle 8,Rectangle 46"		2.52723	400	133	117	150	3	132171	117	2.52723	400	133	117	150	3	132171	117	566	189	183	200	3	132105	183	0			0			0	132105	132288	275.63	93.75													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 7			1	22668	249	67	766	91	156720	68	"Rectangle 8,Rectangle 46"		2.49922	21285	250	67	766	85	156820	283	2.50233	26130	933	133	3147	28	156720	3147	27513	983	150	3147	28	156720	3147	0			0			54	163547	162314	274.82	169.77													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 8			1	32993	250	67	666	132	162364	566	"Rectangle 8,Rectangle 46"		2.59158	31011	250	67	666	124	162364	566	2.58887	38989	1500	117	4347	26	162364	783	40438	1555	167	4397	26	162314	833	0			0			95	162314	163147	169.77	71.6													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 9			1	13607	247	83	566	55	162364	566	"Rectangle 8,Rectangle 46"		2.57543	12624	252	83	566	50	162364	566	2.57359	16072	804	117	3597	20	162364	566	16955	848	167	3614	20	162314	616	0			0			29	162314	162931	169.77	62													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 10			1	10243	277	67	666	37	181634	167	"Rectangle 8,Rectangle 46"		2.67174	9243	272	67	666	34	181634	167	2.67211	11558	722	100	1732	16	181634	167	12241	765	117	1815	16	181567	233	0			0			18	181567	181801	219.65	36.78													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 11			1	5080	231	117	500	22	206966	250	"Rectangle 8,Rectangle 46"		2.53568	5080	231	117	500	22	206966	250	2.53568	5596	430	117	1382	13	206966	616	6162	474	167	1449	13	206933	650	0			0			8	206933	207582	93.12	317.8													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 12			1	4463	235	100	450	19	212146	250	"Rectangle 8,Rectangle 46"		2.50279	4463	235	100	450	19	212146	250	2.50279	4946	707	250	2398	7	212146	250	5296	757	300	2415	7	212096	300	0			0			12	212096	212396	451.49	52.77													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 13			1	133	133	133	133	1	216776	133	"Rectangle 8,Rectangle 46"		2.46625	133	133	133	133	1	216776	133	2.46625	133	133	133	133	1	216776	133	183	183	183	183	1	216726	183	0			0			0	216726	216909	490.16	39.89													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 14			1	174678	299	67	1832	585	231698	150	"Rectangle 8,Rectangle 46"		2.77563	150426	296	67	1832	508	231698	150	2.7688	211663	2679	83	29328	79	231698	29328	215711	2731	150	29378	79	231648	29378	0			0			393	231648	261027	133.81	100.45													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 15			1	650	217	133	316	3	535573	133	"Rectangle 8,Rectangle 46"		3.01814	650	217	133	316	3	535573	133	3.01814	700	350	133	566	2	535573	133	766	383	150	616	2	535556	150	0			0			1	540453	535706	162.22	197.19													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 16			1	3797	223	83	466	17	273601	250	"Rectangle 8,Rectangle 46"		2.70487	3631	227	83	466	16	273601	250	2.70447	3864	276	83	1399	14	273601	250	4530	324	133	1399	14	273535	316	0			0			3	273535	273851	287.13	269.89													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 17			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 18			1	133	133	133	133	1	535573	133	"Rectangle 8,Rectangle 46"		2.89134	133	133	133	133	1	535573	133	2.89134	133	133	133	133	1	535573	133	150	150	150	150	1	535556	150	0			0			0		535706		197.19													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 19			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 20			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 21			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 22			1	15539	268	83	1016	58	269604	150	"Rectangle 8,Rectangle 46"		2.66404	14456	258	83	1016	56	269604	150	2.67546	16638	504	83	1466	33	269604	150	18004	546	117	1499	33	269537	217	0			0			24	269537	269754	167.52	216.91													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 23			1	23750	253	67	783	94	298782	117	"Rectangle 8,Rectangle 46"		2.68774	22001	256	67	783	86	328009	266	2.68494	25682	514	100	2831	50	298782	117	27680	554	117	2848	50	298732	167	0			0			41	298732	328625	362.39	113.53													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 24			1	9910	268	100	700	37	297300	300	"Rectangle 8,Rectangle 46"		2.64663	9910	268	100	700	37	297300	300	2.64663	10443	497	100	1632	21	297300	300	11309	539	133	1649	21	297234	366	0			0			15	297234	413547	132.9	80.86													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 25			1	31261	279	67	1832	112	545316	150	"Rectangle 8,Rectangle 46"		2.74153	24899	274	67	1832	91	545499	350	2.74133	39298	1637	133	10770	24	545316	1332	40413	1684	200	10820	24	545316	1332	0			0			66	547331	546649	271.89	147.55													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 26			1	383	192	150	233	2	603434	233	"Rectangle 8,Rectangle 46"		2.71748	383	192	150	233	2	603434	233	2.71748	383	192	150	233	2	603434	233	516	258	233	283	2	603384	283	0			0			0	603384	603667	257.55	39.11													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 27			1	1715	172	67	316	10	569910	217	"Rectangle 8,Rectangle 46"		2.64313	1715	172	67	316	10	569910	217	2.64313	1832	262	100	550	7	569910	550	2165	309	133	600	7	569860	600	0			0			3	569860	570460	107.86	299.24													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 28			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 29			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 30			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 31			1	233	233	233	233	1	603434	233	"Rectangle 8,Rectangle 46"		2.67904	233	233	233	233	1	603434	233	2.67904	233	233	233	233	1	603434	233	283	283	283	283	1	603384	283	0			0			0	603384	603667	257.55	39.11													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 32			1	150	150	150	150	1	605832	150	"Rectangle 8,Rectangle 46"		2.77727	150	150	150	150	1	605832	150	2.77727	150	150	150	150	1	605832	150	233	233	233	233	1	605749	233	0			0			0	605749	605982	445.12	120.16													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 33			1	8627	270	67	700	32	545200	100	"Rectangle 8,Rectangle 46"		2.62369	8377	289	117	700	29	562082	133	2.62082	9193	707	83	1982	13	545200	100	9793	753	100	2032	13	545200	100	0			0			19	562032	562215	148.73	57.92													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 34			1	5230	227	83	566	23	576056	566	"Rectangle 8,Rectangle 46"		2.63325	5080	231	83	566	22	576056	566	2.635	5629	469	167	966	12	576056	816	6029	502	200	983	12	576022	849	0			0			11	576022	576872	70.79	187.56													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 35			1	2082	208	67	400	10	584764	167	"Rectangle 8,Rectangle 46"		2.62272	2082	208	67	400	10	584764	167	2.62272	2115	235	67	400	9	584764	167	2465	274	83	433	9	584731	200	0			0			1	584731	584931	74.27	56.41													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 36			1	68629	255	44	1449	269	618960	44	"Rectangle 8,Rectangle 46"		2.78592	61723	264	67	1449	234	619054	533	2.78019	83999	1500	117	24907	56	618960	24907	86947	1553	167	24907	56	618960	24907	0			0			164	644200	643867	47.26	208.93													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 37			1	566	189	117	250	3	744777	250	"Rectangle 8,Rectangle 46"		2.88483	566	189	117	250	3	744777	250	2.88483	600	300	200	400	2	744777	400	700	350	250	450	2	744727	450	0			0			1	744727	745177	253.4	96.56													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 38			1	6229	215	67	416	29	709670	133	"Rectangle 8,Rectangle 46"		2.74073	6029	223	83	416	27	709670	133	2.74745	6545	327	83	766	20	709670	133	7545	377	167	816	20	709637	167	0			0			9	711769	709803	307.35	56.49													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 39			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 40			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 41			1	117	117	117	117	1	745060	117	"Rectangle 8,Rectangle 46"		2.89359	117	117	117	117	1	745060	117	2.89359	117	117	117	117	1	745060	117	150	150	150	150	1	745027	150	0			0			0	745027	745177	47.43	96.56													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 42			1	200	200	200	200	1	773619	200	"Rectangle 8,Rectangle 46"		2.71235	200	200	200	200	1	773619	200	2.71235	200	200	200	200	1	773619	200	250	250	250	250	1	773569	250	0			0			0	773569	773819	149.71	53.18													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 43			1	0				0			"Rectangle 8,Rectangle 46"			0				0				0				0			0				0			0			0			0																	
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 44			1	14007	222	67	533	63	647564	133	"Rectangle 8,Rectangle 46"		2.72852	13324	226	67	533	59	647564	133	2.73409	15456	429	67	1799	36	647564	133	16921	470	67	1832	36	647514	183	0			0			24	647514	647698	302.9	44.47													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 45			1	19486	238	83	666	82	654626	150	"Rectangle 8,Rectangle 46"		2.72551	18404	245	83	666	75	654626	150	2.71849	21716	494	83	2598	44	654626	150	23648	537	133	2631	44	654576	200	0			0			34	654576	654776	179.59	59.8													
Recording17	Participant4	Timeline1	Entire Recording	1	Screen Recording Recording17	Rectangle 46			1	17088	225	67	550	76	697129	200	"Rectangle 8,Rectangle 46"		2.6614	16605	227	67	550	73	697129	200	2.66	19553	515	150	1949	38	697129	550	21168	557	167	1965	38	697096	583	0			0			32	697096	697679	44.22	292.77													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle				15621	226	67	600	69	5880	199	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.32714	15422	227	67	600	68	6112	183	3.32687	17420	1244	333	2848	14	5880	1747	18086	1292	400	2898	14	5880	1747	0			0			53	8127	9110	286.97	214.11													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 1				10709	261	67	983	41	7744	167	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.30581	10059	258	67	983	39	7744	167	3.31146	11708	781	150	1715	15	7744	383	12275	818	167	1782	15	7727	400	0			0			24	9110	8127	214.11	286.97													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 2				1216	304	67	683	4	10376	67	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.30491	1216	304	67	683	4	10376	67	3.30491	1316	658	67	1249	2	10376	67	1382	691	117	1266	2	10326	117	0			0			2	10326	10442	166.05	36.62													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 3				2615	291	150	533	9	7944	183	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.38494	2615	291	150	533	9	7944	183	3.38494	2798	700	183	1166	4	7944	183	2931	733	217	1182	4	7911	217	0			0			5	7911	8127	39.11	286.97													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 4				1915	213	83	383	9	7744	167	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.28252	1532	192	83	283	8	7744	167	3.29479	2115	529	150	1166	4	7744	167	2182	545	167	1182	4	7727	183	0			0			4	19669	7911	229.1	39.11													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 5				2448	306	117	983	8	23833	217	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.23335	2448	306	117	983	8	23833	217	3.23335	2548	510	117	1182	5	23833	217	2781	556	167	1232	5	23783	266	0			0			3	23783	24049	402.25	46.25													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 6				1299	217	133	333	6	28196	266	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.26177	1033	207	133	333	5	30278	150	3.27855	1299	217	133	333	6	28196	266	1432	239	150	350	6	28163	300	0			0			0	28163	30428	180.76	73.98													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 7				15489	204	67	633	76	41237	133	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.12274	14706	210	67	633	70	41237	133	3.12465	18187	1070	117	2981	17	41237	1865	19003	1118	167	3048	17	41170	1932	0			0			49	41170	43102	139.2	615.32													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 8				30162	245	67	1016	123	43152	183	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.13898	28879	253	67	1016	114	46017	200	3.13527	34925	1397	133	5246	25	43152	183	35724	1429	150	5263	25	43102	233	0			0			81	43102	47666	615.32	247.58													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 9				4747	264	83	766	18	43152	183	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.0826	4380	274	83	766	16	46017	200	3.07322	5163	516	83	1915	10	43152	183	5513	551	150	1949	10	43102	233	0			0			7	43102	46217	615.32	88.37													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 10				9077	239	67	1016	38	46233	200	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.11498	8777	251	67	1016	35	46233	200	3.10894	10309	736	117	3214	14	46233	200	10676	763	133	3248	14	46217	217	0			0			18	46217	46433	88.37	67.59													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 11				4580	254	117	483	18	47316	183	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.21897	4214	263	117	483	16	47316	183	3.2184	5296	662	117	1899	8	47316	350	5596	699	150	1932	8	47266	400	0			0			8	47266	47666	184.69	247.58													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 12				1949	162	100	366	12	54161	150	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.15253	1765	160	100	366	11	54161	150	3.15585	2598	866	550	1216	3	54161	550	2648	883	566	1232	3	54144	566	0			0			6	54144	54710	74.69	222.09													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 13				8727	257	67	550	34	60640	83	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.14172	8660	262	67	550	33	60640	83	3.14026	9726	973	133	2049	10	60640	1316	9976	998	150	2082	10	60623	1332	0			0			22	60623	61955	41.31	328.77													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 14				46285	321	19	1665	144	104040	19	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.18941	43552	325	67	1665	134	104092	500	3.19113	50666	1448	150	13024	35	104040	3150	52231	1492	200	13074	35	104040	3150	0			0			95	107922	107190	122.98	191.79													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 15				1349	270	133	433	5	155672	167	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.3759	1349	270	133	433	5	155672	167	3.3759	1416	472	133	849	3	155672	849	1516	505	150	899	3	155622	899	0			0			2	155622	156521	89.92	117.85													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 16				15789	282	83	966	56	146378	533	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.30093	12874	274	83	899	47	146378	533	3.30267	17171	715	117	2998	24	146378	533	18204	758	150	3015	24	146345	566	0			0			25	146345	158736	40.53	32.81													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 17				983	246	133	433	4	155672	167	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.3829	983	246	133	433	4	155672	167	3.3829	983	246	133	433	4	155672	167	1116	279	150	466	4	155622	217	0			0			0	155622	155838	89.92	51.77													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 18				366	366	366	366	1	155871	366	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.3571	366	366	366	366	1	155871	366	3.3571	366	366	366	366	1	155871	366	400	400	400	400	1	155838	400	0			0			0	155838	156238	51.77	77.12													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 19				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 20				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 21				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 22				4563	228	67	483	20	107556	366	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.29314	4563	228	67	483	20	107556	366	3.29314	4763	366	83	1016	13	107556	366	5063	389	100	1049	13	107523	400	0			0			7	107523	107922	57.05	122.98													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 23				12541	220	67	550	57	112452	150	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.29863	12541	220	67	550	57	112452	150	3.29863	13757	764	67	2998	18	112452	150	14423	801	83	3048	18	112436	167	0			0			37	112436	112602	60.94	35.09													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 24				8527	275	67	733	31	142681	433	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.31129	7611	272	67	733	28	142681	433	3.28678	8844	553	67	2465	16	142681	2465	9227	577	83	2482	16	142664	2482	0			0			15	142664	145146	48.56	214.17													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 25				22222	250	38	949	89	217040	38	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.25704	20102	258	67	949	78	217327	67	3.25436	26036	1736	167	5367	15	217040	5367	26635	1776	200	5367	15	217040	5367	0			0			59	223473	223773	136.46	90.63													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 26				566	142	67	200	4	254767	200	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.29226	566	142	67	200	4	254767	200	3.29226	566	142	67	200	4	254767	200	733	183	100	250	4	254717	250	0			0			0	254717	254967	154.87	90.59													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 27				2065	229	83	400	9	250487	400	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.25778	2065	229	83	400	9	250487	400	3.25778	2098	300	83	633	7	250487	400	2315	331	133	650	7	250470	416	0			0			2	253868	250887	130.05	45.95													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 28				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 29				566	142	67	200	4	254767	200	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.29226	566	142	67	200	4	254767	200	3.29226	566	142	67	200	4	254767	200	733	183	100	250	4	254717	250	0			0			0	254717	254967	154.87	90.59													
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 30				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 31				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 32				0				0			"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"			0				0				0				0			0				0			0			0			0																	
Recording20	Participant5	Timeline1	My Time of Interest 001	1	Screen Recording Recording20	Rectangle 33				3864	184	67	366	21	222674	233	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.27202	3864	184	67	366	21	222674	233	3.27202	4447	741	100	1616	6	222674	799	4663	777	167	1632	6	222640	833	0			0			13	223773	223473	90.63	136.46													
